mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
137	137	546	546	1.5	1/2	1/2	4/4	6	1	V(4)/VII		g	i		V(4)/VII	V			4	VII			M	1	1	-1, -2, 0		-1	-1
137	137	1095/2	1095/2	0.5	7/8	7/8	4/4	6	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
138	138	548	548	2.0	0	0	4/4	6	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
138	138	550	550	2.0	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
139	139	552	552	2.0	0	0	4/4	6	1	V7/VII		g	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
139	139	554	554	1.0	1/2	1/2	4/4	6	1	VII6		g	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
139	139	555	555	1.0	3/4	3/4	4/4	6	1	IVM7(9)/VII		g	i		IVM7(9)/VII	IV	M	7	9	VII			MM7	1	1	-3, 1, -2, 2	-1	-3	-3
140	140	556	556	1.0	0	0	4/4	6	1	V(4)/VII		g	i		V(4)/VII	V			4	VII			M	1	1	-1, -2, 0		-1	-1
140	140	557	557	1.0	1/4	1/4	4/4	6	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
140	140	558	558	2.0	1/2	1/2	4/4	6	1	VII\\		g	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
141	141	560	560	2.0	0	0	4/4	6	1	IV/VII		g	i		IV/VII	IV				VII			M	1	1	-3, 1, -2		-3	-3
141	141	562	562	2.0	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
142	142	564	564	1.5	0	0	4/4	6	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
142	142	1131/2	1131/2	0.5	3/8	3/8	4/4	6	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
142	142	566	566	1.0	1/2	1/2	4/4	6	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
142	142	567	567	1.0	3/4	3/4	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
143	143	568	568	1.0	0	0	4/4	6	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
143	143	569	569	1.0	1/4	1/4	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
143	143	570	570	2.0	1/2	1/2	4/4	6	1	VI\\		g	i		VI	VI						\\	M	1	1	-4, 0, -3		-4	-4
144	144	572	572	1.0	0	0	4/4	6	1	viio64/III		g	i		viio64/III	vii	o	64		III			o	1	1	-4, 2, -1		2	-4
144	144	573	573	1.0	1/4	1/4	4/4	6	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
144	144	574	574	1.0	1/2	1/2	4/4	6	1	viio6(2)/III		g	i		viio6(2)/III	vii	o	6	2	III			o	1	1	-1, -4, -3		2	-1
