mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	120	dir						
25	25	96	96	4.0	0	0	Chord	4/4	2	1	1	1	1	121							
26	26	100	100	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	122	fra-						
26	26	101	101	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	123	gen						
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	124	und						
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	125							
26	26	102	102	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	126							
27	27	104	104	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	127							
27	27	105	105	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	128	dein						
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	129	Heil						
27	27	106	106	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	130	he-						
27	27	104	104	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	131							
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	132							
28	28	108	108	4.0	0	0	Chord	4/4	1	1	1	1	1	133	ben,						
28	28	108	108	4.0	0	0	Chord	4/4	2	1	1	1	1	134							
29	29	113	113	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	135	im-						
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	136	mer						
29	29	114	114	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	137	sa-						
29	29	112	112	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	138							
29	29	114	114	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	139							
30	30	116	116	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	140	gen:						
30	30	119	119	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	141	Hoch						
30	30	239/2	239/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	142	ge-						
30	30	116	116	4.0	0	0	Chord	4/4	2	1	1	1	1	143							
31	31	120	120	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	144	lobt,						
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	145	ge-						
31	31	122	122	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	146	lobt,						
31	31	123	123	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	147	hoch						
31	31	247/2	247/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	148	ge-						
31	31	120	120	4.0	0	0	Chord	4/4	2	1	1	1	1	149							
32	32	124	124	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	150	lobt,						
32	32	251/2	251/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	151	ge-						
32	32	126	126	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	152	lobt						
32	32	124	124	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	153							
32	32	126	126	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	154							
33	33	128	128	4.0	0	0	Chord	4/4	1	1	1	1	1	155	sei						
33	33	128	128	4.0	0	0	Chord	4/4	2	1	1	1	1	156							
34	34	132	132	4.0	0	0	Chord	4/4	1	1	1	1	1	157	Gott.						
34	34	132	132	4.0	0	0	Chord	4/4	2	1	1	1	1	158							
35	35	136	136	0.0	0	0	StaffText	4/4	2	1	0					Symphonia					
35	35	136	136	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	159							
35	35	137	137	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	160							
35	35	138	138	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	161							
35	35	139	139	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	162							
36	36	140	140	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	163							
36	36	142	142	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	164							
36	36	143	143	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	165							
37	37	144	144	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	166							
37	37	145	145	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	167							
37	37	146	146	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	168							
38	38	148	148	4.0	0	0	Chord	4/4	2	1	1	1	1	169							
39	39	155	155	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	170	Ich						
39	39	152	152	4.0	0	0	Chord	4/4	2	1	1	1	1	171							
40	40	156	156	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	172	a-						
40	40	158	158	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	173	ber						
40	40	319/2	319/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	174	bin						
40	40	156	156	4.0	0	0	Chord	4/4	2	1	1	1	1	175							
41	41	160	160	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	176	e-						
41	41	161	161	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	177	lend						
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	178	und						
41	41	162	162	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	179	arm;						
41	41	160	160	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	180							
41	41	162	162	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	181	6						
42	42	329/2	329/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	182	Gott,						
42	42	165	165	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	183	ei-						
42	42	166	166	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	184	le,						
42	42	333/2	333/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	185	ei-						
42	42	335/2	335/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	186	le						
42	42	671/4	671/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	187	zu						
42	42	164	164	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	188							
42	42	166	166	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	189							
43	43	168	168	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	190	mir,						
43	43	337/2	337/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	191	Gott,						
43	43	169	169	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	192	ei-						
43	43	170	170	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	193	le,						
43	43	341/2	341/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	194	ei-						
43	43	343/2	343/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	195	le						
43	43	687/4	687/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	196	zu						
43	43	168	168	4.0	0	0	Chord	4/4	2	1	1	1	1	197							
44	44	172	172	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	198	mir,						
44	44	175	175	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	199	denn						
44	44	351/2	351/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	200	du						
44	44	172	172	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	201							
44	44	174	174	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	202							
45	45	176	176	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	203	bist						
45	45	355/2	355/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	204	mein						
45	45	178	178	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	205	Hel-						
45	45	176	176	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	206							
45	45	178	178	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	207							
46	46	180	180	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	208	fer,						
46	46	363/2	363/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	209	mein						
46	46	182	182	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	210	Hel-						
46	46	367/2	367/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	211	fer						
46	46	180	180	4.0	0	0	Chord	4/4	2	1	1	1	1	212							
47	47	184	184	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	213	und						
47	47	371/2	371/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	214	Er-						
47	47	186	186	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	215	ret-						
47	47	187	187	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	216	ter,						
47	47	184	184	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	217							
47	47	186	186	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	218							
48	48	377/2	377/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	219	Gott,						
48	48	189	189	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	220	ei-						
48	48	190	190	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	221	le,						
48	48	381/2	381/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	222	ei-						
48	48	383/2	383/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	223	le						
48	48	767/4	767/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	224	zu						
48	48	188	188	4.0	0	0	Chord	4/4	2	1	1	1	1	225							
49	49	192	192	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	226	mir,						
49	49	385/2	385/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	227	Gott,						
49	49	193	193	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	228	ei-						
49	49	194	194	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	229	le,						
49	49	389/2	389/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	230	ei-						
49	49	391/2	391/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	231	le						
49	49	783/4	783/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	232	zu						
49	49	192	192	4.0	0	0	Chord	4/4	2	1	1	1	1	233							
50	50	196	196	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	234	mir,						
50	50	199	199	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	235	denn						
50	50	399/2	399/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	236	du						
50	50	196	196	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	237							
50	50	198	198	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	238							
51	51	200	200	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	239	bist						
51	51	403/2	403/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	240	mien						
51	51	202	202	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	241	Hel-						
51	51	200	200	4.0	0	0	Chord	4/4	2	1	1	1	1	242							
52	52	204	204	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	243	fer,						
52	52	411/2	411/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	244	mein						
52	52	206	206	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	245	Hel-						
52	52	415/2	415/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	246	fer						
52	52	204	204	4.0	0	0	Chord	4/4	2	1	1	1	1	247							
53	53	208	208	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	248	und						
53	53	419/2	419/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	249	Er-						
53	53	210	210	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	250	ret-						
53	53	211	211	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	251	ter,						
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	252	memGott,						
53	53	208	208	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	253							
53	53	210	210	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	254							
54	54	212	212	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	255							
54	54	427/2	427/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	256	mein						
54	54	214	214	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	257	Gott,						
54	54	431/2	431/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	258	mein						
54	54	212	212	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	259							
54	54	214	214	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	260							
55	55	216	216	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	261	Gott,						
55	55	217	217	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	262	ver-						
55	55	218	218	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	263	zeuch						
55	55	216	216	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	264							
55	55	218	218	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	265							
56	56	220	220	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	266	nicht,						
56	56	447/2	447/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	267	mein						
56	56	220	220	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	268							
56	56	222	222	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	269							
57	57	224	224	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	270	Gott,						
57	57	451/2	451/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	271	mein						
57	57	226	226	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	272	Gott,						
57	57	455/2	455/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	273	mein						
57	57	224	224	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	274							
57	57	226	226	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	275	6						
58	58	228	228	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	276	Gott,						
58	58	459/2	459/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	277	ver-						
58	58	230	230	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	278	zeuch						
58	58	228	228	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	279							
58	58	229	229	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	280							
58	58	230	230	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	281							
59	59	232	232	4.0	0	0	Chord	4/4	1	1	1	1	1	282	nicht,						
59	59	232	232	4.0	0	0	Chord	4/4	2	1	1	1	1	283							
60	60	237	237	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	284	denn						
60	60	475/2	475/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	285	du						
60	60	238	238	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	286	bist						
60	60	479/2	479/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	287	mein						
60	60	236	236	4.0	0	0	Chord	4/4	2	1	1	1	1	288							
61	61	240	240	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	289	Hel-						
61	61	241	241	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	290	fer,						
61	61	243	243	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	291	mein						
