mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
72	72	1/4	1/4	4/4	5	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2	2	1	2	0.3333333333333333	0.125	0.75	0.14285714285714285
72	72	1/2	1/2	4/4	5	1	V(4)					g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	2	0.0	0.0	0.75	0.0
72	72	3/4	3/4	4/4	5	1	V					g	i		V	V							M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	0.75	0.0
73	73	0	0	4/4	5	1	i\\					g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	2.0	0.0
73	73	1/2	1/2	4/4	5	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.25	0.0
74	74	0	0	4/4	5	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.5	0.0
74	74	1/2	1/2	4/4	5	1	iv6					g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	6	0.0	0.0	2.25	0.0
75	75	0	0	4/4	5	1	III6					g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	6	0.0	0.0	2.5	0.0
75	75	1/2	1/2	4/4	5	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	2.0	0.0
76	76	0	0	4/4	5	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	0	4	0.0	0.0	2.0	0.0
76	76	1/2	1/2	4/4	5	1	VI6					g	i		VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	5	0.0	0.0	2.0	0.0
77	77	0	0	4/4	5	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	1	4	0.2	0.125	1.25	0.09090909090909091
77	77	1/4	1/4	4/4	5	1	i6					g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.125	0.75	0.14285714285714285
77	77	1/2	1/2	4/4	5	1	#viio6(2)					g	i		#viio6(2)	#vii	o	6	2				o	1	1	3, 0, 1		6	3	0	3	0.0	0.0	1.25	0.0
77	77	3/4	3/4	4/4	5	1	#viio6	0	-4.9	/		g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6	3	0	2	0.0	0.0	0.5	0.0
78	78	0	0	4/4	5	1	i\\					g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	2.5	0.0
78	78	1/2	1/2	4/4	5	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	1.5	0.0
79	79	0	0	4/4	5	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	1	3	0.25	0.125	1.375	0.08333333333333333
79	79	1/2	1/2	4/4	5	1	iv6					g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	2.0	0.0
80	80	0	0	4/4	5	1	III6					g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	4	0.0	0.0	2.0	0.0
80	80	1/2	1/2	4/4	5	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	2.25	0.0
