mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
33	33	1/2	1/2	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	1.25	0.0
34	34	0	0	4/4	5	1	v\\					d	i		v	v						\\	m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.5	0.0
34	34	1/4	1/4	4/4	5	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.5	0.0
34	34	1/2	1/2	4/4	5	1	iv/v					d	i		iv/v	iv				v			m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
34	34	3/4	3/4	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.5	0.0
35	35	0	0	4/4	5	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
35	35	1/4	1/4	4/4	5	1	iv/v					d	i		iv/v	iv				v			m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
35	35	1/2	1/2	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	1.25	0.0
36	36	0	0	4/4	5	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
36	36	1/4	1/4	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.0	0.0
36	36	3/4	3/4	4/4	5	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
37	37	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
37	37	1/4	1/4	4/4	5	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
