mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
90	90	1/8	1/8	4/4	3	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0.0	0.0	3	4	0.42857142857142855	0.1875	0.6875	0.21428571428571427
90	90	1/2	1/2	4/4	3	1	V(4)/IV					g	i		V(4)/IV	V			4	IV			M	1	1	1, 0, 2		1.0	1.0	2	2	0.5	0.125	1.0	0.1111111111111111
90	90	3/4	3/4	4/4	3	1	V/IV					g	i		V/IV	V				IV			M	1	1	1, 5, 2		1.0	1.0	0	1	0.0	0.0	0.25	0.0
91	91	0	0	4/4	3	1	IV\\					g	i		IV	IV						\\	M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.5	0.0
91	91	1/2	1/2	4/4	3	1	v					g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
92	92	0	0	4/4	3	1	VI					g	i		VI	VI							M	1	1	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	1.5	0.0
92	92	1/2	1/2	4/4	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	1.5	0.0
93	93	0	0	4/4	3	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0.0	0.0	2	5	0.2857142857142857	0.25	2.75	0.08333333333333333
94	94	0	0	4/4	3	1	i(4)					g	i		i(4)	i			4				m	1	1	1, 0, 2		1.0	1.0	0	3	0.0	0.0	1.5	0.0
94	94	1/4	1/4	4/4	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	3	4	0.42857142857142855	0.375	1.125	0.25
95	95	0	0	4/4	3	1	V(4)					g	i		V(4)	V			4				M	1	1	2, 1, 3		2.0	2.0	0	3	0.0	0.0	2.25	0.0
95	95	1/4	1/4	4/4	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
96	96	0	0	4/4	3	1	i\\				I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1.0	1.0	0	6	0.0	0.0	6.0	0.0
