mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
63	63	0	0	4/4	6	1	IV		g	i		IV	IV							M	1	1	0, 4, 1		0	0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
63	63	1/2	1/2	4/4	6	1	V(4)		g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	3	0.0	0.0	0.875	0.0
63	63	3/4	3/4	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.5	0.2
64	64	0	0	4/4	6	1	i\\	I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	3.0	0.0
65	65	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	14	15	0.4827586206896552	1.75	3.5	0.3333333333333333
67	67	0	0	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
67	67	1/2	1/2	4/4	6	1	III		g	i		III	III							M	1	1	-2, 2, -1		-2	-2	1	4	0.2	0.125	1.25	0.09090909090909091
68	68	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	2	6	0.25	0.25	1.125	0.18181818181818182
68	68	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
69	69	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	2, 6, 3		2	2	3	9	0.25	0.375	2.5	0.13043478260869565
70	70	1/2	1/2	4/4	6	1	V/iv		g	i		V/iv	V				iv			M	1	1	1, 5, 2		1	1	1	4	0.2	0.125	1.25	0.09090909090909091
71	71	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0	0	3	5	0.375	0.375	1.0	0.2727272727272727
71	71	1/2	1/2	4/4	6	1	v(11)		g	i		v(11)	v			11				m	1	1	2, -1, 3	1	2	2	0	4	0.0	0.0	1.0	0.0
71	71	3/4	3/4	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
72	72	0	0	4/4	6	1	I\\		g	i		I	I						\\	M	1	1	1, 5, 2		1	1	6	6	0.5	0.75	2.0	0.2727272727272727
73	73	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
73	73	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	2	9	0.18181818181818182	0.25	2.125	0.10526315789473684
74	74	1/2	1/2	4/4	6	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.875	0.0
74	74	3/4	3/4	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
75	75	0	0	4/4	6	1	ii6/III		g	i		ii6/III	ii		6		III			m	1	1	-3, 1, 0		0	-3	0	3	0.0	0.0	0.5	0.0
75	75	1/4	1/4	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
75	75	1/2	1/2	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-2, 2, -1		-2	-2	0	7	0.0	0.0	2.0	0.0
76	76	1/4	1/4	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.5	0.0
76	76	3/4	3/4	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
